inp,output,flag,username,timestamp
/media/faisal/NewVolume/edge_program/ml/image_classifier_with_gradio/Image-Classifier-GRADIO/flagged/inp/355cdadf9475c06627c53a552ff49a2b4b93b142/tmpo6h0scmk.jpg,/media/faisal/NewVolume/edge_program/ml/image_classifier_with_gradio/Image-Classifier-GRADIO/flagged/output/tmpsimydnkr.json,,,2024-06-09 23:53:19.100554
/media/faisal/NewVolume/edge_program/ml/image_classifier_with_gradio/Image-Classifier-GRADIO/flagged/inp/63a76de2c43b932ca9fdcdea7a4d120687b68539/tmpllbti__o.jpg,/media/faisal/NewVolume/edge_program/ml/image_classifier_with_gradio/Image-Classifier-GRADIO/flagged/output/tmp9tgulsst.json,,,2024-06-09 23:54:55.223693
